fold,backbone,feature,dr,k,clf,accuracy,macro_f1
1,resnet50,EplusT,pca,1,linearsvc,0.019622641509433963,0.004838008879020137
1,resnet50,EplusT,pca,1,logreg,0.02339622641509434,0.01415306978085273
1,resnet50,EplusT,pca,1,knn,0.012830188679245283,0.00019263269508928906
1,resnet50,EplusT,pca,8,linearsvc,0.6732075471698113,0.6251153964099472
1,resnet50,EplusT,pca,8,logreg,0.7833962264150943,0.7582027033892128
1,resnet50,EplusT,pca,8,knn,0.7773584905660378,0.7181585526555722
1,resnet50,EplusT,pca,32,linearsvc,0.9622641509433962,0.9504892819342244
1,resnet50,EplusT,pca,32,logreg,0.9728301886792453,0.9621395603761002
1,resnet50,EplusT,pca,32,knn,0.9456603773584905,0.9257245715498164
1,resnet50,EplusT,pca,16,linearsvc,0.8966037735849056,0.8790637662824463
1,resnet50,EplusT,pca,16,logreg,0.939622641509434,0.9295577096601546
1,resnet50,EplusT,pca,16,knn,0.9192452830188679,0.8874533571838205
1,resnet50,EplusT,pca,64,linearsvc,0.9781132075471698,0.9653149525220804
1,resnet50,EplusT,pca,64,logreg,0.9818867924528302,0.9737969715850872
1,resnet50,EplusT,pca,64,knn,0.9622641509433962,0.946782498187279
1,resnet50,EplusT,pca,128,linearsvc,0.9803773584905661,0.9713550073339412
1,resnet50,EplusT,pca,128,logreg,0.9864150943396226,0.9799873189952258
1,resnet50,EplusT,pca,128,knn,0.9713207547169811,0.956051967981292
1,resnet50,EplusT,lda,1,linearsvc,0.021132075471698115,0.005505166475315728
1,resnet50,EplusT,lda,1,logreg,0.06566037735849056,0.03201172249957379
1,resnet50,EplusT,lda,1,knn,0.012075471698113207,0.00019579610872487874
1,resnet50,EplusT,lda,8,linearsvc,0.5901886792452831,0.5327672721916087
1,resnet50,EplusT,lda,8,logreg,0.76,0.7138761637010632
1,resnet50,EplusT,lda,8,knn,0.8,0.7526480517516051
1,resnet50,EplusT,lda,16,linearsvc,0.8150943396226416,0.7692631499559939
1,resnet50,EplusT,lda,16,logreg,0.9056603773584906,0.8721918344847167
1,resnet50,EplusT,lda,16,knn,0.9275471698113208,0.907378185968633
1,resnet50,EplusT,lda,32,linearsvc,0.9033962264150943,0.8702096112450075
1,resnet50,EplusT,lda,32,logreg,0.970566037735849,0.9610020517258038
1,resnet50,EplusT,lda,32,knn,0.9743396226415094,0.9645229623783943
1,resnet50,EplusT,lda,64,linearsvc,0.9524528301886792,0.9332039304510916
1,resnet50,EplusT,lda,64,logreg,0.9826415094339622,0.971731239507946
1,resnet50,EplusT,lda,64,knn,0.9826415094339622,0.9736149151302802
1,resnet50,EplusT,lda,128,linearsvc,0.9683018867924529,0.9583642851521859
1,resnet50,EplusT,lda,128,logreg,0.9856603773584905,0.978848502781702
1,resnet50,EplusT,lda,128,knn,0.9849056603773585,0.9734734710238783
1,resnet50,EplusT,lda,267,linearsvc,0.9856603773584905,0.9766386997965091
1,resnet50,EplusT,lda,267,logreg,0.9886792452830189,0.9829945780375268
1,resnet50,EplusT,lda,267,knn,0.9879245283018868,0.9794256716863511
1,resnet50,EplusT,rp,1,linearsvc,0.01660377358490566,0.0028792202516947966
1,resnet50,EplusT,rp,1,logreg,0.012830188679245283,0.00797178882837546
1,resnet50,EplusT,rp,1,knn,0.007547169811320755,0.00011156243379880187
1,resnet50,EplusT,rp,8,linearsvc,0.2339622641509434,0.1906644534515494
1,resnet50,EplusT,rp,8,logreg,0.2890566037735849,0.2615496538209791
1,resnet50,EplusT,rp,8,knn,0.23018867924528302,0.18846588859030522
1,resnet50,EplusT,rp,16,linearsvc,0.5539622641509434,0.5122331838848747
1,resnet50,EplusT,rp,16,logreg,0.5637735849056604,0.5182620846491182
1,resnet50,EplusT,rp,16,knn,0.6271698113207547,0.5591380423572849
1,resnet50,EplusT,rp,32,linearsvc,0.790188679245283,0.7468757179882873
1,resnet50,EplusT,rp,32,logreg,0.840754716981132,0.8125282331223848
1,resnet50,EplusT,rp,32,knn,0.859622641509434,0.8122090869611779
1,resnet50,EplusT,rp,64,linearsvc,0.909433962264151,0.8810734285126464
1,resnet50,EplusT,rp,64,logreg,0.9479245283018868,0.9281698246758328
1,resnet50,EplusT,rp,64,knn,0.950188679245283,0.9295499490172797
1,resnet50,EplusT,pca,256,linearsvc,0.9811320754716981,0.9691715408181033
1,resnet50,EplusT,pca,256,logreg,0.9864150943396226,0.9794282264350403
1,resnet50,EplusT,pca,256,knn,0.9750943396226415,0.96332614762216
1,resnet50,EplusT,rp,128,linearsvc,0.9516981132075472,0.9368074907219657
1,resnet50,EplusT,rp,128,logreg,0.9683018867924529,0.9523545406138356
1,resnet50,EplusT,rp,128,knn,0.9652830188679246,0.9514283853544799
1,efficientnet_b0,EplusT,pca,8,linearsvc,0.7184905660377359,0.6688264439148178
1,efficientnet_b0,EplusT,pca,8,logreg,0.8286792452830188,0.7965543805198984
1,efficientnet_b0,EplusT,pca,8,knn,0.8422641509433962,0.7928055216622356
