backbone,feature,dr,k,clf,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_folds,accuracy_mean±std,macro_f1_mean±std
mobilenet_v3_small,EplusT,lda,128,logreg,0.9945340003238006,0.00041984224569014355,0.9933399128266365,0.0025424700407442936,4,0.9945 ± 0.0004,0.9933 ± 0.0025
mobilenet_v3_small,EplusT,lda,267,logreg,0.9947357086150496,0.0012940334421129498,0.992431985529578,0.003741528839780145,4,0.9947 ± 0.0013,0.9924 ± 0.0037
mobilenet_v3_small,EplusT,lda,64,logreg,0.993698144966035,0.0011995560607068083,0.9917004481099255,0.003620633794111817,4,0.9937 ± 0.0012,0.9917 ± 0.0036
mobilenet_v3_small,EplusT,pca,128,logreg,0.9930187680547592,0.002619480018980235,0.9902658753419462,0.006867833704807793,4,0.9930 ± 0.0026,0.9903 ± 0.0069
mobilenet_v3_small,EplusT,lda,128,linearsvc,0.9922198244039908,0.0027650310549887456,0.9897005831471948,0.004117990618221906,4,0.9922 ± 0.0028,0.9897 ± 0.0041
mobilenet_v3_small,EplusT,lda,128,knn,0.992983625673975,0.002489003685179371,0.9894214736165426,0.003994426287663879,4,0.9930 ± 0.0025,0.9894 ± 0.0040
mobilenet_v3_small,EplusT,pca,64,logreg,0.9923715919422766,0.0026884017820548284,0.9893606115082422,0.006635275579952764,4,0.9924 ± 0.0027,0.9894 ± 0.0066
mobilenet_v3_small,EplusT,pca,256,logreg,0.9928136053345344,0.0028882302118424215,0.9891658000707312,0.0066160371841891535,4,0.9928 ± 0.0029,0.9892 ± 0.0066
mobilenet_v3_small,EplusT,lda,267,knn,0.9933394453813114,0.0016635469312135044,0.9891243582881417,0.005347338687404251,4,0.9933 ± 0.0017,0.9891 ± 0.0053
mobilenet_v3_small,EplusT,lda,267,linearsvc,0.9931360519872997,0.0013407740379151984,0.9881847156544201,0.003190223064625637,4,0.9931 ± 0.0013,0.9882 ± 0.0032
mobilenet_v3_small,EplusT,rp,128,logreg,0.9911476929257805,0.001888166806220011,0.9881845803317777,0.003542888126409954,4,0.9911 ± 0.0019,0.9882 ± 0.0035
efficientnet_b0,EplusT,lda,267,knn,0.9923773902490538,0.002197305859489406,0.9879650103161408,0.0032614990754346,4,0.9924 ± 0.0022,0.9880 ± 0.0033
efficientnet_b0,EplusT,pca,256,logreg,0.992083858413007,0.0025530691965657388,0.9874523998898739,0.003718298973507592,4,0.9921 ± 0.0026,0.9875 ± 0.0037
resnet50,EplusT,lda,267,logreg,0.9913953129894284,0.002540341266527566,0.9870797378489601,0.004370275090390266,4,0.9914 ± 0.0025,0.9871 ± 0.0044
mobilenet_v3_small,EplusT,lda,64,knn,0.9923404785420566,0.001593944812570568,0.9869049585919474,0.003846708990105239,4,0.9923 ± 0.0016,0.9869 ± 0.0038
efficientnet_b0,EplusT,lda,267,logreg,0.9921722275288292,0.001954731072982216,0.9868638859355643,0.002194076461632174,4,0.9922 ± 0.0020,0.9869 ± 0.0022
mobilenet_v3_small,EplusT,lda,64,linearsvc,0.9919188091584039,0.0025399689624513847,0.9868447868896091,0.006106472150960797,4,0.9919 ± 0.0025,0.9868 ± 0.0061
mobilenet_v3_small,EplusT,lda,32,logreg,0.9906160314196253,0.0012458832098360257,0.9865684351925023,0.0034721059004781444,4,0.9906 ± 0.0012,0.9866 ± 0.0035
efficientnet_b0,EplusT,lda,128,knn,0.9907703344352145,0.0024205950614696777,0.9864374225319973,0.003851864172238256,4,0.9908 ± 0.0024,0.9864 ± 0.0039
efficientnet_b0,EplusT,lda,128,logreg,0.9911000960506188,0.0012912885679708121,0.9862210244817333,0.0018775697083649315,4,0.9911 ± 0.0013,0.9862 ± 0.0019
efficientnet_b0,EplusT,pca,128,logreg,0.9909131019080984,0.0015987646242483027,0.9860910280527557,0.003090596264541918,4,0.9909 ± 0.0016,0.9861 ± 0.0031
mobilenet_v3_small,EplusT,pca,128,linearsvc,0.9901123047076665,0.0019453636840259365,0.9860598191131092,0.006183042508595593,4,0.9901 ± 0.0019,0.9861 ± 0.0062
mobilenet_v3_small,EplusT,pca,256,linearsvc,0.9913288887615235,0.002749650908784286,0.985928027890096,0.005733328774197814,4,0.9913 ± 0.0027,0.9859 ± 0.0057
resnet50,EplusT,lda,267,knn,0.9907850485839431,0.002524048945061529,0.9855267897491092,0.005151604323026791,4,0.9908 ± 0.0025,0.9855 ± 0.0052
efficientnet_b0,EplusT,lda,64,knn,0.9894783260880508,0.0016605899614168856,0.9854724563246092,0.003975442981086571,4,0.9895 ± 0.0017,0.9855 ± 0.0040
efficientnet_b0,EplusT,pca,64,logreg,0.9892528193592209,0.0024218013053761566,0.9847710621780963,0.003387114128838201,4,0.9893 ± 0.0024,0.9848 ± 0.0034
mobilenet_v3_small,EplusT,rp,128,linearsvc,0.9892821634332277,0.0015419165393727734,0.9843082444465023,0.005176246454586465,4,0.9893 ± 0.0015,0.9843 ± 0.0052
efficientnet_b0,EplusT,lda,64,logreg,0.989247105275894,0.0026595082945489613,0.9839955044550288,0.006793791986335262,4,0.9892 ± 0.0027,0.9840 ± 0.0068
efficientnet_b0,EplusT,pca,256,linearsvc,0.9908983877593698,0.0019538788342635784,0.9839299684669873,0.0030231686164431068,4,0.9909 ± 0.0020,0.9839 ± 0.0030
efficientnet_b0,EplusT,pca,128,linearsvc,0.9896432068957529,0.0014697821438652261,0.983396468797877,0.0018905510664129215,4,0.9896 ± 0.0015,0.9834 ± 0.0019
mobilenet_v3_small,EplusT,rp,64,logreg,0.9888901750173835,0.002361645942735984,0.9830831405625853,0.003704417599858384,4,0.9889 ± 0.0024,0.9831 ± 0.0037
resnet50,EplusT,lda,128,logreg,0.989176307667341,0.002834507802450366,0.9825266176697011,0.0040005237336544755,4,0.9892 ± 0.0028,0.9825 ± 0.0040
efficientnet_b0,EplusT,lda,267,linearsvc,0.9896670053333337,0.0014553945859177354,0.9821096028942624,0.003791475657310307,4,0.9897 ± 0.0015,0.9821 ± 0.0038
mobilenet_v3_small,EplusT,pca,64,linearsvc,0.9897826273157126,0.0029280924172481186,0.9817381125786266,0.0059786060031132866,4,0.9898 ± 0.0029,0.9817 ± 0.0060
resnet50,EplusT,lda,128,knn,0.9893741554249266,0.003388237760525835,0.9817127663760024,0.006512175136598373,4,0.9894 ± 0.0034,0.9817 ± 0.0065
mobilenet_v3_small,EplusT,pca,32,logreg,0.9874955126629575,0.002619565291706662,0.981527646202049,0.00486809038258281,4,0.9875 ± 0.0026,0.9815 ± 0.0049
resnet50,EplusT,lda,267,linearsvc,0.988974599376092,0.003024874647869102,0.9815070983952754,0.00338939662441745,4,0.9890 ± 0.0030,0.9815 ± 0.0034
mobilenet_v3_small,EplusT,lda,32,knn,0.9884117402462664,0.0008243437310690473,0.9812033121601262,0.0029998265756777647,4,0.9884 ± 0.0008,0.9812 ± 0.0030
efficientnet_b0,EplusT,rp,128,logreg,0.9884940733975247,0.0034393230168442367,0.9807666040419378,0.0047638298293064905,4,0.9885 ± 0.0034,0.9808 ± 0.0048
resnet50,EplusT,pca,256,logreg,0.9878950687117921,0.002255594037776485,0.9803085371690619,0.0027119244440169713,4,0.9879 ± 0.0023,0.9803 ± 0.0027
resnet50,EplusT,lda,64,knn,0.986717081467695,0.003318629253653921,0.979754424536713,0.005572315757816614,4,0.9867 ± 0.0033,0.9798 ± 0.0056
resnet50,EplusT,pca,128,logreg,0.9865021756835792,0.003931457033399672,0.9793447346341969,0.0046964378491631065,4,0.9865 ± 0.0039,0.9793 ± 0.0047
efficientnet_b0,EplusT,lda,32,knn,0.9883570200079674,0.0038480506003136343,0.9793277106435894,0.009385781818890066,4,0.9884 ± 0.0038,0.9793 ± 0.0094
efficientnet_b0,EplusT,pca,64,linearsvc,0.9863939528872899,0.0029891535163883228,0.9792706210935787,0.0046481520234051684,4,0.9864 ± 0.0030,0.9793 ± 0.0046
efficientnet_b0,EplusT,lda,32,logreg,0.9866966532356395,0.003403706417171186,0.9785371854601733,0.00721640539262692,4,0.9867 ± 0.0034,0.9785 ± 0.0072
resnet50,EplusT,pca,256,linearsvc,0.986469974884786,0.005511752679084313,0.9779106702005165,0.008660723806289834,4,0.9865 ± 0.0055,0.9779 ± 0.0087
efficientnet_b0,EplusT,pca,32,logreg,0.9837172168490931,0.0048463946732394195,0.977508720939795,0.006866678295137336,4,0.9837 ± 0.0048,0.9775 ± 0.0069
efficientnet_b0,EplusT,lda,128,linearsvc,0.9850951430582261,0.00314743233407683,0.9769561500535981,0.005470115801595943,4,0.9851 ± 0.0031,0.9770 ± 0.0055
mobilenet_v3_small,EplusT,lda,16,logreg,0.9840309853176937,0.00220941548452254,0.9766829758457415,0.00539405910287182,4,0.9840 ± 0.0022,0.9767 ± 0.0054
efficientnet_b0,EplusT,pca,256,knn,0.9852214270561683,0.002469410392482806,0.9764285916903488,0.006512108590500317,4,0.9852 ± 0.0025,0.9764 ± 0.0065
resnet50,EplusT,pca,64,logreg,0.9843477410397331,0.004059241562526804,0.9760205177372188,0.007210994297901028,4,0.9843 ± 0.0041,0.9760 ± 0.0072
